Country	iso3c	ID	Caption	Provider	Artist	ArtistURL	ArtistHTML	License	LicenseURL	ImageName	InfoURL	FileURL	folder	iso2c	OriginURL	w640_URL	Attribution
China	CHN	4	China faces serious problems from overfishing in coastal waters.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Durga_bhat_bollurodi' title='User:Durga bhat bollurodi'>Durga bhat bollurodi</a>	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	China_fishing_nets_at_Vypin_beach.jpg	https://commons.wikimedia.org/wiki/File:China_fishing_nets_at_Vypin_beach.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/China_fishing_nets_at_Vypin_beach.jpg/640px-China_fishing_nets_at_Vypin_beach.jpg	c/c9/	CN	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Durga_bhat_bollurodi' title='User:Durga bhat bollurodi'>Durga bhat bollurodi</a>, <a href='https://commons.wikimedia.org/wiki/File:China_fishing_nets_at_Vypin_beach.jpg'>China_fishing_nets_at_Vypin_beach.jpg</a>; <a href='https://creativecommons.org/licenses/by-sa/4.0'>CC BY-SA 4.0</a>, via Wikimedia Commons
Colombia	COL	1	Deforestation is a serious problem in the country.	Wikimedia	NA	NA	<a rel='nofollow' class='external text' href='https://www.flickr.com/people/16725630@N00'>Matt Zimmerman</a>	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	Amazon_slash_and_burn_agriculture_Colombia_South_America.jpg	https://commons.wikimedia.org/wiki/File:Amazon_slash_and_burn_agriculture_Colombia_South_America.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Amazon_slash_and_burn_agriculture_Colombia_South_America.jpg/640px-Amazon_slash_and_burn_agriculture_Colombia_South_America.jpg	d/d0/	CO	NA	NA	<a rel='nofollow' class='external text' href='https://www.flickr.com/people/16725630@N00'>Matt Zimmerman</a>, <a href='https://commons.wikimedia.org/wiki/File:Amazon_slash_and_burn_agriculture_Colombia_South_America.jpg'>Amazon_slash_and_burn_agriculture_Colombia_South_America.jpg</a>; <a href='https://creativecommons.org/licenses/by/2.0'>CC BY 2.0</a>, via Wikimedia Commons
Colombia	COL	2	Global Witness reported Colombia as the most dangerous country in the world for environmental defenders.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/w/index.php?title=User:Fabiammoreno&amp;action=edit&amp;redlink=1' class='new' title='User:Fabiammoreno (page does not exist)'>Fabiammoreno</a>	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Autoridad_Tradicional_Ne%27jwesx_2019_-_2021_Resguardo_Ind%C3%ADgena_de_Jambal%C3%B3.jpg	https://commons.wikimedia.org/wiki/File:Autoridad_Tradicional_Ne%27jwesx_2019_-_2021_Resguardo_Ind%C3%ADgena_de_Jambal%C3%B3.jpg	NA	3/38/	CO	https://upload.wikimedia.org/wikipedia/commons/3/38/Autoridad_Tradicional_Ne%27jwesx_2019_-_2021_Resguardo_Ind%C3%ADgena_de_Jambal%C3%B3.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Autoridad_Tradicional_Ne%27jwesx_2019_-_2021_Resguardo_Ind%C3%ADgena_de_Jambal%C3%B3.jpg/640px-Autoridad_Tradicional_Ne%27jwesx_2019_-_2021_Resguardo_Ind%C3%ADgena_de_Jambal%C3%B3.jpg	NA
Colombia	COL	3	Columbia has a very diverse geography and abundant natural resources. The ​​Andes mountain range near to Tunja, Colombia.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/w/index.php?title=User:VeRdUgO_PY&amp;action=edit&amp;redlink=1' class='new' title='User:VeRdUgO PY (page does not exist)'>VeRdUgO PY</a>	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Cordillera_de_los_andes_-_Tunja_Colombia.jpg	https://commons.wikimedia.org/wiki/File:Cordillera_de_los_andes_-_Tunja_Colombia.jpg	NA	8/8e/	CO	https://upload.wikimedia.org/wikipedia/commons/8/8e/Cordillera_de_los_andes_-_Tunja_Colombia.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Cordillera_de_los_andes_-_Tunja_Colombia.jpg/640px-Cordillera_de_los_andes_-_Tunja_Colombia.jpg	NA
Colombia	COL	4	Girls’ education has led to increased participation in the workforce, growing from 30 percent to 43 percent between 1990 and 2012.	Pixabay	rafatrivoro	https://pixabay.com/users/rafatrivoro-12603879/	NA	NA	NA	4232029	https://pixabay.com/photos/girls-wayuu-indian-culture-4232029/	NA	NA	CO	NA	NA	NA
Comoros	COM	1	Comoros is poor, and its citizens consume little and rely on subsistence farming.	Wikimedia	NA	NA	Woodlouse	CC BY-SA 2.0	https://creativecommons.org/licenses/by-sa/2.0	March%C3%A9_%C3%A0_Moroni.jpg	https://commons.wikimedia.org/wiki/File:March%C3%A9_%C3%A0_Moroni.jpg	NA	e/e3/	KM	https://upload.wikimedia.org/wikipedia/commons/e/e3/March%C3%A9_%C3%A0_Moroni.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/March%C3%A9_%C3%A0_Moroni.jpg/640px-March%C3%A9_%C3%A0_Moroni.jpg	NA
Comoros	COM	2	Deforestation rates have more than doubled, while the country lost 58 percent of its forest cover between 1990 and 2005.	Wikimedia	NA	NA	John  Crane	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	Gran_Comore_landscape.jpg	https://commons.wikimedia.org/wiki/File:Gran_Comore_landscape.jpg	NA	5/5a/	KM	https://upload.wikimedia.org/wikipedia/commons/5/5a/Gran_Comore_landscape.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Gran_Comore_landscape.jpg/640px-Gran_Comore_landscape.jpg	NA
Comoros	COM	3	Nearly one third of married women have an unmet need for family planning, and almost half of married women say that decisions about their own health are primarily made by their husband.	Wikimedia	NA	NA	<a rel='nofollow' class='external text' href='https://www.flickr.com/people/79721788@N00'>David Stanley</a> from Nanaimo, Canada	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	Comorian_Woman_(10878313353).jpg	https://commons.wikimedia.org/wiki/File:Comorian_Woman_(10878313353).jpg	NA	8/8a/	KM	https://upload.wikimedia.org/wikipedia/commons/8/8a/Comorian_Woman_%2810878313353%29.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Comorian_Woman_(10878313353).jpg/640px-Comorian_Woman_(10878313353).jpg	NA
Costa Rica	CRI	1	Costa Rica is a country of exceptionally rich and well-protected biodiversity.	Pixabay	kiwibu	https://pixabay.com/users/kiwibu-12829688/	NA	NA	NA	4289660	https://pixabay.com/photos/waterfall-costa-rica-water-4289660/	NA	NA	CR	NA	NA	NA
Costa Rica	CRI	2	Costa Rica now is leading the world in clean energy production as 98% of its electricity is derived from renewable resources.	Wikimedia	NA	NA	<a href='https://en.wikipedia.org/wiki/User:Tarrazu' class='extiw' title='w:User:Tarrazu'>Tarrazu</a>	CC BY 3.0	https://creativecommons.org/licenses/by/3.0	Pirris_Hydro_Dam.JPG	https://commons.wikimedia.org/wiki/File:Pirris_Hydro_Dam.JPG	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Pirris_Hydro_Dam.JPG/640px-Pirris_Hydro_Dam.JPG	d/d8/	CR	NA	NA	<a href='https://en.wikipedia.org/wiki/User:Tarrazu' class='extiw' title='w:User:Tarrazu'>Tarrazu</a>, <a href='https://commons.wikimedia.org/wiki/File:Pirris_Hydro_Dam.JPG'>Pirris_Hydro_Dam.JPG</a>; <a href='https://creativecommons.org/licenses/by/3.0'>CC BY 3.0</a>, via Wikimedia Commons
Costa Rica	CRI	3	Costa Rica’s strict nature protection supports the highly profitable ecotourism it invented and developed in the 90’s.	Wikimedia	NA	NA	<a href='https://en.wikipedia.org/wiki/User:Khaufle' class='extiw' title='wikipedia:User:Khaufle'>Khaufle</a> at <a href='https://en.wikipedia.org/wiki/' class='extiw' title='wikipedia:'>English Wikipedia</a>	CC-BY-SA-3.0	http://creativecommons.org/licenses/by-sa/3.0/	Zip-line_over_rainforest_canopy_4_January_2005,_Costa_Rica.jpg	https://commons.wikimedia.org/wiki/File:Zip-line_over_rainforest_canopy_4_January_2005,_Costa_Rica.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Zip-line_over_rainforest_canopy_4_January_2005,_Costa_Rica.jpg/640px-Zip-line_over_rainforest_canopy_4_January_2005,_Costa_Rica.jpg	d/d5/	CR	NA	NA	<a href='https://en.wikipedia.org/wiki/User:Khaufle' class='extiw' title='wikipedia:User:Khaufle'>Khaufle</a> at <a href='https://en.wikipedia.org/wiki/' class='extiw' title='wikipedia:'>English Wikipedia</a>, <a href='https://commons.wikimedia.org/wiki/File:Zip-line_over_rainforest_canopy_4_January_2005,_Costa_Rica.jpg'>Zip-line_over_rainforest_canopy_4_January_2005,_Costa_Rica.jpg</a>; <a href='http://creativecommons.org/licenses/by-sa/3.0/'>CC-BY-SA-3.0</a>, via Wikimedia Commons
Costa Rica	CRI	4	Infant mortality rate is half the average for Latin America and life expectancy is comparable with much richer countries.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/w/index.php?title=User:Javblr&amp;action=edit&amp;redlink=1' class='new' title='User:Javblr (page does not exist)'>Javblr</a>	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Grandmother_and_family%27s_love.jpg	https://commons.wikimedia.org/wiki/File:Grandmother_and_family%27s_love.jpg	NA	4/4f/	CR	https://upload.wikimedia.org/wikipedia/commons/4/4f/Grandmother_and_family%27s_love.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Grandmother_and_family%27s_love.jpg/640px-Grandmother_and_family%27s_love.jpg	NA
Croatia	HRV	1	Political leadership is looking at incentives to boost birth rates.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Suradnik13' title='User:Suradnik13'>Suradnik13</a>	CC-BY-SA-3.0	http://creativecommons.org/licenses/by-sa/3.0/	Croatian_parliament.jpg	https://commons.wikimedia.org/wiki/File:Croatian_parliament.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Croatian_parliament.jpg/640px-Croatian_parliament.jpg	5/54/	HR	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Suradnik13' title='User:Suradnik13'>Suradnik13</a>, <a href='https://commons.wikimedia.org/wiki/File:Croatian_parliament.jpg'>Croatian_parliament.jpg</a>; <a href='http://creativecommons.org/licenses/by-sa/3.0/'>CC-BY-SA-3.0</a>, via Wikimedia Commons
Croatia	HRV	2	Croatia’s graceful downsizing has been a boost to restoring the environment.	Wikimedia	NA	NA	Martin Brož	CC BY 3.0	https://creativecommons.org/licenses/by/3.0	Jizni_Velebit,_zalesnene_rozeklane_hrebeny.jpg	https://commons.wikimedia.org/wiki/File:Jizni_Velebit,_zalesnene_rozeklane_hrebeny.jpg	NA	c/c3/	HR	https://upload.wikimedia.org/wikipedia/commons/c/c3/Jizni_Velebit%2C_zalesnene_rozeklane_hrebeny.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Jizni_Velebit,_zalesnene_rozeklane_hrebeny.jpg/640px-Jizni_Velebit,_zalesnene_rozeklane_hrebeny.jpg	NA
Cuba	CUB	1	Cuba has set a goal of conserving 25 percent of the country’s coastal waters.	Wikimedia	NA	NA	Alessandro Caproni	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	Cuba-17.jpg	https://commons.wikimedia.org/wiki/File:Cuba-17.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Cuba-17.jpg/640px-Cuba-17.jpg	6/69/	CU	NA	NA	Alessandro Caproni, <a href='https://commons.wikimedia.org/wiki/File:Cuba-17.jpg'>Cuba-17.jpg</a>; <a href='https://creativecommons.org/licenses/by/2.0'>CC BY 2.0</a>, via Wikimedia Commons
Cuba	CUB	2	Castro’s speech at the Rio de Janeiro Earth Summit in 1992 kicked off a series of tough environmental laws.	Wikimedia	NA	NA	<a rel='nofollow' class='external text' href='https://www.flickr.com/people/72071224@N08'>World Public Forum Dialogue of Civilizations</a>	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	Fidel_Castro_2012.jpg	https://commons.wikimedia.org/wiki/File:Fidel_Castro_2012.jpg	https://upload.wikimedia.org/wikipedia/commons/8/8e/Fidel_Castro_2012.jpg	8/8e/	CU	NA	NA	NA
Curacao	CUW	1	Curacao is a small island nation off the coast of Venezuela.	Wikimedia	NA	NA	<a rel='nofollow' class='external text' href='https://matthewtrader.com'>Matthew T Rader</a>	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	The_colorful_buildings_of_the_Handelskade_in_Willemstad,_Cura%C3%A7ao.jpg	https://commons.wikimedia.org/wiki/File:The_colorful_buildings_of_the_Handelskade_in_Willemstad,_Cura%C3%A7ao.jpg	NA	6/6d/	CW	https://upload.wikimedia.org/wikipedia/commons/6/6d/The_colorful_buildings_of_the_Handelskade_in_Willemstad%2C_Cura%C3%A7ao.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/The_colorful_buildings_of_the_Handelskade_in_Willemstad,_Cura%C3%A7ao.jpg/640px-The_colorful_buildings_of_the_Handelskade_in_Willemstad,_Cura%C3%A7ao.jpg	NA
Curacao	CUW	2	Acid clouds grow from the SO2 emissions of a PDVSA refinery on the island of Curaçao.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/wiki/User:HdeK' title='User:HdeK'>HdeK</a>	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Cloud_formation_from_refinery_in_Curacao.jpg	https://commons.wikimedia.org/wiki/File:Cloud_formation_from_refinery_in_Curacao.jpg	NA	a/aa/	CW	https://upload.wikimedia.org/wikipedia/commons/a/aa/Cloud_formation_from_refinery_in_Curacao.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Cloud_formation_from_refinery_in_Curacao.jpg/640px-Cloud_formation_from_refinery_in_Curacao.jpg	NA
Cyprus	CYP	1	Due to high consumption patterns and a relatively high population level, Cyprus has almost 20 times more people than can be sustainably supported.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Podzemnik' title='User:Podzemnik'>Michal Klajban</a>	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Harbour,_Kyrenia,_Northern_Cyprus_01.jpg	https://commons.wikimedia.org/wiki/File:Harbour,_Kyrenia,_Northern_Cyprus_01.jpg	NA	d/db/	CY	https://upload.wikimedia.org/wikipedia/commons/d/db/Harbour%2C_Kyrenia%2C_Northern_Cyprus_01.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Harbour,_Kyrenia,_Northern_Cyprus_01.jpg/640px-Harbour,_Kyrenia,_Northern_Cyprus_01.jpg	NA
Cyprus	CYP	2	Highway and rural road construction has led to habitat loss and a fragmentation of nature areas.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Podzemnik' title='User:Podzemnik'>Michal Klajban</a>	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Dirt_road_in_Karpaz,_Northern_Cyprus_02.jpg	https://commons.wikimedia.org/wiki/File:Dirt_road_in_Karpaz,_Northern_Cyprus_02.jpg	NA	9/99/	CY	https://upload.wikimedia.org/wikipedia/commons/9/99/Dirt_road_in_Karpaz%2C_Northern_Cyprus_02.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Dirt_road_in_Karpaz,_Northern_Cyprus_02.jpg/640px-Dirt_road_in_Karpaz,_Northern_Cyprus_02.jpg	NA
Cyprus	CYP	3	Groundwater resources are overexploited by about 40% of the sustainable extraction level.	Wikimedia	NA	NA	<a rel='nofollow' class='external text' href='https://web.archive.org/web/20161026193855/http://www.panoramio.com/user/7121193?with_photo_id=80728670'>Максим Улитин</a>	CC BY 3.0	https://creativecommons.org/licenses/by/3.0	Ayia_Napa,_Cyprus_-_panoramio_(155).jpg	https://commons.wikimedia.org/wiki/File:Ayia_Napa,_Cyprus_-_panoramio_(155).jpg	NA	f/fd/	CY	https://upload.wikimedia.org/wikipedia/commons/f/fd/Ayia_Napa%2C_Cyprus_-_panoramio_%28155%29.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Ayia_Napa,_Cyprus_-_panoramio_(155).jpg/640px-Ayia_Napa,_Cyprus_-_panoramio_(155).jpg	NA
Czech Republic	CZE	1	Population growth has modestly been increasing every year due to immigration policies that for the past decade have allowed from twelve thousand to fifty thousand new citizens a year.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Diliff' title='User:Diliff'>Diliff</a>	CC-BY-SA-3.0	http://creativecommons.org/licenses/by-sa/3.0/	Prague_crowd_Mal%C3%A1_Strana.jpg	https://commons.wikimedia.org/wiki/File:Prague_crowd_Mal%C3%A1_Strana.jpg	NA	7/79/	CZ	https://upload.wikimedia.org/wikipedia/commons/7/79/Prague_crowd_Mal%C3%A1_Strana.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Prague_crowd_Mal%C3%A1_Strana.jpg/640px-Prague_crowd_Mal%C3%A1_Strana.jpg	NA
Czech Republic	CZE	2	The Czech economy remains one of the most energy- and carbon-intensive economies in the OECD due to its strong industrial base and reliance on coal.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/wiki/User:GPSLeo' title='User:GPSLeo'>Leonhard Lenz</a>	CC0	http://creativecommons.org/publicdomain/zero/1.0/deed.en	Protest_on_Czech_Republic_coal_commission_in_front_of_embassy_in_Berlin_2020-11-30_13.jpg	https://commons.wikimedia.org/wiki/File:Protest_on_Czech_Republic_coal_commission_in_front_of_embassy_in_Berlin_2020-11-30_13.jpg	NA	e/e2/	CZ	https://upload.wikimedia.org/wikipedia/commons/e/e2/Protest_on_Czech_Republic_coal_commission_in_front_of_embassy_in_Berlin_2020-11-30_13.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Protest_on_Czech_Republic_coal_commission_in_front_of_embassy_in_Berlin_2020-11-30_13.jpg/640px-Protest_on_Czech_Republic_coal_commission_in_front_of_embassy_in_Berlin_2020-11-30_13.jpg	NA
Czech Republic	CZE	3	Landfilling remains the most common waste treatment method.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Chmee2' title='User:Chmee2'>Chmee2</a>	CC BY 3.0	https://creativecommons.org/licenses/by/3.0	Illegal_landfill_in_natural_monumet_Nad_zavodistem_(2).JPG	https://commons.wikimedia.org/wiki/File:Illegal_landfill_in_natural_monumet_Nad_zavodistem_(2).JPG	NA	e/ed/	CZ	https://upload.wikimedia.org/wikipedia/commons/e/ed/Illegal_landfill_in_natural_monumet_Nad_zavodistem_%282%29.JPG	https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Illegal_landfill_in_natural_monumet_Nad_zavodistem_(2).JPG/640px-Illegal_landfill_in_natural_monumet_Nad_zavodistem_(2).JPG	NA
Democratic Republic Of The Congo	COD	1	With half of Africa's forests and water resources and trillion-dollar mineral reserves the country must navigate the pressures on the demand for the extraction of its natural resources and the resulting environmental damages.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/w/index.php?title=User:Ch._Naeem_Ahmad&amp;action=edit&amp;redlink=1' class='new' title='User:Ch. Naeem Ahmad (page does not exist)'>Ch. Naeem Ahmad bajwa</a>	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	A_natural_tunnel_on_Matadi_Boma_road_in_Democratic_Republic_of_Congo_photo_by_Ch._naeem_Ahmad_Bajwa._date_12_mai_2014.jpg	https://commons.wikimedia.org/wiki/File:A_natural_tunnel_on_Matadi_Boma_road_in_Democratic_Republic_of_Congo_photo_by_Ch._naeem_Ahmad_Bajwa._date_12_mai_2014.jpg	NA	c/c7/	CD	https://upload.wikimedia.org/wikipedia/commons/c/c7/A_natural_tunnel_on_Matadi_Boma_road_in_Democratic_Republic_of_Congo_photo_by_Ch._naeem_Ahmad_Bajwa._date_12_mai_2014.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/A_natural_tunnel_on_Matadi_Boma_road_in_Democratic_Republic_of_Congo_photo_by_Ch._naeem_Ahmad_Bajwa._date_12_mai_2014.jpg/640px-A_natural_tunnel_on_Matadi_Boma_road_in_Democratic_Republic_of_Congo_photo_by_Ch._naeem_Ahmad_Bajwa._date_12_mai_2014.jpg	NA
Democratic Republic Of The Congo	COD	2	The country has the highest level of biodiversity in Africa.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Nhobgood' title='User:Nhobgood'>Nhobgood</a> Nick Hobgood	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Tree_frog_congo.jpg	https://commons.wikimedia.org/wiki/File:Tree_frog_congo.jpg	NA	3/36/	CD	https://upload.wikimedia.org/wikipedia/commons/3/36/Tree_frog_congo.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Tree_frog_congo.jpg/640px-Tree_frog_congo.jpg	NA
Democratic Republic Of The Congo	COD	3	Up to 1.7 million tons of bushmeat are harvested annually from unregulated hunting and poaching, contributing to species depletion. The Deputy Prime Minister and Minister of Foreign Affairs spoke at the Illegal Wildlife Trade Conference.	Wikimedia	NA	NA	<a rel='nofollow' class='external text' href='https://www.flickr.com/people/10246637@N04'>Foreign and Commonwealth Office</a>	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	Illegal_Wildlife_Trade_Conference_London_2018_(44555739744).jpg	https://commons.wikimedia.org/wiki/File:Illegal_Wildlife_Trade_Conference_London_2018_(44555739744).jpg	NA	f/fc/	CD	https://upload.wikimedia.org/wikipedia/commons/f/fc/Illegal_Wildlife_Trade_Conference_London_2018_%2844555739744%29.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Illegal_Wildlife_Trade_Conference_London_2018_(44555739744).jpg/640px-Illegal_Wildlife_Trade_Conference_London_2018_(44555739744).jpg	NA
Democratic Republic Of The Congo	COD	4	A new legal environment exists favorable to family planning and reproductive health in the country.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/w/index.php?title=User:Esther_N%27sapu&amp;action=edit&amp;redlink=1' class='new' title='User:Esther N'sapu (page does not exist)'>Esther N'sapu</a>	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Une_m%C3%A8re_et_sa_fille.jpg	https://commons.wikimedia.org/wiki/File:Une_m%C3%A8re_et_sa_fille.jpg	NA	1/19/	CD	https://upload.wikimedia.org/wikipedia/commons/1/19/Une_m%C3%A8re_et_sa_fille.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Une_m%C3%A8re_et_sa_fille.jpg/640px-Une_m%C3%A8re_et_sa_fille.jpg	NA
Denmark	DNK	1	Denmark has the lowest poverty rate of all the OECD countries.	Wikimedia	NA	NA	<a rel='nofollow' class='external text' href='https://www.flickr.com/people/126744325@N07'>Kristoffer Trolle</a> from Copenhagen, Denmark	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	Cityscape_and_skyline_by_the_Copenhagen_Lakes,_Denmark_-_(36018109956).jpg	https://commons.wikimedia.org/wiki/File:Cityscape_and_skyline_by_the_Copenhagen_Lakes,_Denmark_-_(36018109956).jpg	NA	1/19/	DK	https://upload.wikimedia.org/wikipedia/commons/1/19/Cityscape_and_skyline_by_the_Copenhagen_Lakes%2C_Denmark_-_%2836018109956%29.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Cityscape_and_skyline_by_the_Copenhagen_Lakes,_Denmark_-_(36018109956).jpg/640px-Cityscape_and_skyline_by_the_Copenhagen_Lakes,_Denmark_-_(36018109956).jpg	NA
Denmark	DNK	2	The country has a high level of gender equality and most women work outside the home.	Wikimedia	NA	NA	Irina <a rel='nofollow' class='external text' href='https://unsplash.com/@sofiameli'>sofiameli</a>	CC0	http://creativecommons.org/publicdomain/zero/1.0/deed.en	Copenhagen,_Denmark_(Unsplash_2Q8bo_6lu1Y).jpg	https://commons.wikimedia.org/wiki/File:Copenhagen,_Denmark_(Unsplash_2Q8bo_6lu1Y).jpg	NA	d/d5/	DK	https://upload.wikimedia.org/wikipedia/commons/d/d5/Copenhagen%2C_Denmark_%28Unsplash_2Q8bo_6lu1Y%29.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Copenhagen,_Denmark_(Unsplash_2Q8bo_6lu1Y).jpg/640px-Copenhagen,_Denmark_(Unsplash_2Q8bo_6lu1Y).jpg	NA
Denmark	DNK	3	Denmark was at the forefront of the move to carbon neutrality for the past three decades and the country leads Europe in deriving almost half of its electricity needs from wind power.	Wikimedia	NA	NA	<a rel='nofollow' class='external text' href='http://www.CGPGrey.com'>CGP Grey</a>	CC BY 2.0	https://creativecommons.org/licenses/by/2.0	Danish_Wind_Turbines_4890240265.jpg	https://commons.wikimedia.org/wiki/File:Danish_Wind_Turbines_4890240265.jpg	NA	3/3e/	DK	https://upload.wikimedia.org/wikipedia/commons/3/3e/Danish_Wind_Turbines_4890240265.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Danish_Wind_Turbines_4890240265.jpg/640px-Danish_Wind_Turbines_4890240265.jpg	NA
Denmark	DNK	4	Population still gradually grows primarily from immigration averaging over 15,000 immigrants a year.	Wikimedia	NA	NA	Allan Th. Andersen	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Danish_Ministry_of_Immigration.jpg	https://commons.wikimedia.org/wiki/File:Danish_Ministry_of_Immigration.jpg	NA	5/57/	DK	https://upload.wikimedia.org/wikipedia/commons/5/57/Danish_Ministry_of_Immigration.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Danish_Ministry_of_Immigration.jpg/640px-Danish_Ministry_of_Immigration.jpg	NA
Djibouti	DJI	1	Djibouti has few natural resources.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/w/index.php?title=User:Clovis_conchou&amp;action=edit&amp;redlink=1' class='new' title='User:Clovis conchou (page does not exist)'>Clovis conchou</a>	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	De_koron_%C3%A0_Arta_plage,_Djibouti.jpg	https://commons.wikimedia.org/wiki/File:De_koron_%C3%A0_Arta_plage,_Djibouti.jpg	NA	b/be/	DJ	https://upload.wikimedia.org/wikipedia/commons/b/be/De_koron_%C3%A0_Arta_plage%2C_Djibouti.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/De_koron_%C3%A0_Arta_plage,_Djibouti.jpg/640px-De_koron_%C3%A0_Arta_plage,_Djibouti.jpg	NA
Djibouti	DJI	2	Waste generation is a serious problem, with the country generating three times the EU average in municipal waste.	Wikimedia	NA	NA	<a href='//commons.wikimedia.org/wiki/User:Baronnet' title='User:Baronnet'>Marc Baronnet</a>	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	March%C3%A9-Djibouti-2000.jpg	https://commons.wikimedia.org/wiki/File:March%C3%A9-Djibouti-2000.jpg	NA	a/a6/	DJ	https://upload.wikimedia.org/wikipedia/commons/a/a6/March%C3%A9-Djibouti-2000.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/March%C3%A9-Djibouti-2000.jpg/640px-March%C3%A9-Djibouti-2000.jpg	NA
